YEAR,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,UNIQUE_CARRIER,ORIGIN_AIRPORT_ID,ORIGIN_CITY_NAME,DEST_AIRPORT_ID,DEST_CITY_NAME,CRS_DEP_TIME,CRS_ARR_TIME,ARR_DELAY_NEW,ARR_DEL15,CANCELLED,DISTANCE
2015,1,5,1,OO,14679,San Diego   CA,12892,Los Angeles   CA,1135,1225,0,0,0,109
2015,1,1,4,OO,12892,Los Angeles   CA,14869,Salt Lake City   UT,1940,2225,23,1,0,590
2015,1,14,3,OO,11540,El Paso   TX,12892,Los Angeles   CA,1208,1320,0,0,0,715
2015,1,11,7,OO,12278,Wichita   KS,13930,Chicago   IL,558,755,0,0,0,588
2015,1,13,2,OO,13342,Milwaukee   WI,13930,Chicago   IL,1143,1239,,,1,67
2015,1,29,4,OO,13342,Milwaukee   WI,13930,Chicago   IL,1143,1239,3,0,0,67
2015,1,19,1,OO,13930,Chicago   IL,13342,Milwaukee   WI,1030,1118,50,1,0,67
2015,1,2,5,OO,13930,Chicago   IL,13342,Milwaukee   WI,1040,1130,30,1,0,67
2015,1,15,4,OO,14747,Seattle   WA,13891,Ontario   CA,1415,1645,0,0,0,956
2015,1,26,1,OO,13891,Ontario   CA,14747,Seattle   WA,1720,2009,0,0,0,956
2015,1,12,1,OO,10800,Burbank   CA,14057,Portland   OR,1500,1712,0,0,0,817
2015,1,3,6,OO,14057,Portland   OR,10800,Burbank   CA,640,850,0,0,0,817
2015,1,13,2,OO,14057,Portland   OR,10800,Burbank   CA,640,849,,,0,817
2015,1,9,5,OO,13891,Ontario   CA,14057,Portland   OR,923,1145,0,0,0,838
2015,1,22,4,OO,13871,Omaha   NE,14747,Seattle   WA,1615,1755,196,1,0,1368
2015,1,20,2,OO,14057,Portland   OR,14689,Santa Barbara   CA,1225,1430,73,1,0,784
2015,1,25,7,OO,14679,San Diego   CA,14869,Salt Lake City   UT,700,950,0,0,0,626
2015,1,21,3,OO,14679,San Diego   CA,10713,Boise   ID,1440,1750,5,0,0,749
2015,1,3,6,OO,14679,San Diego   CA,10713,Boise   ID,1440,1750,0,0,0,749
2015,1,29,4,OO,10713,Boise   ID,14679,San Diego   CA,1825,1935,4,0,0,749
2015,1,24,6,OO,14869,Salt Lake City   UT,14747,Seattle   WA,1200,1305,0,0,0,689
2015,1,11,7,OO,11292,Denver   CO,14262,Palm Springs   CA,2156,2321,24,1,0,776
2015,1,23,5,OO,11292,Denver   CO,11193,Cincinnati   OH,1000,1436,45,1,0,1069
2015,1,21,3,OO,11292,Denver   CO,11193,Cincinnati   OH,1000,1436,25,1,0,1069
2015,1,8,4,OO,14262,Palm Springs   CA,14771,San Francisco   CA,810,951,0,0,0,421
2015,1,13,2,OO,14262,Palm Springs   CA,14771,San Francisco   CA,810,951,129,1,0,421
2015,1,7,3,OO,14107,Phoenix   AZ,14698,San Luis Obispo   CA,2103,2142,6,0,0,509
2015,1,11,7,OO,11695,Flagstaff   AZ,14107,Phoenix   AZ,1600,1645,0,0,0,119
2015,1,12,1,OO,14107,Phoenix   AZ,14689,Santa Barbara   CA,1800,1833,2,0,0,455
2015,1,9,5,OO,14262,Palm Springs   CA,14107,Phoenix   AZ,750,1006,14,0,0,261
2015,1,27,2,OO,14107,Phoenix   AZ,14262,Palm Springs   CA,1943,1951,0,0,0,261
2015,1,14,3,OO,14107,Phoenix   AZ,15376,Tucson   AZ,1745,1830,0,0,0,110
2015,1,17,6,OO,14107,Phoenix   AZ,15376,Tucson   AZ,1745,1830,0,0,0,110
2015,1,21,3,OO,14689,Santa Barbara   CA,14771,San Francisco   CA,1741,1851,55,1,0,262
2015,1,23,5,OO,14489,Bend/Redmond   OR,11292,Denver   CO,736,1100,0,0,0,898
2015,1,1,4,OO,14771,San Francisco   CA,13388,Mammoth Lakes   CA,835,940,0,0,0,193
2015,1,26,1,OO,14771,San Francisco   CA,14908,Santa Ana   CA,1901,2030,0,0,0,372
2015,1,15,4,OO,14771,San Francisco   CA,14908,Santa Ana   CA,1901,2030,0,0,0,372
2015,1,27,2,OO,14869,Salt Lake City   UT,11109,Colorado Springs   CO,1535,1708,0,0,0,411
